Rank,Lemma,POS,Definition,
1201,introduction,noun,the act of making a person known to others by name,導入
1202,requirement,noun,something that is needed or demanded,要件
1203,north,noun,the direction that is to your left when you are facing the rising sun,北
1204,confirm,verb,to make sure something is true or correct,確認する
1205,senior,adjective,having a higher level job or position than someone else; older,上級の、年上の
1206,photo,noun,a picture made by a camera ,写真
1207,refuse,verb,"to say that you will not accept (something, such as a gift or offer) ",拒む
1208,transport,verb,to carry things from one place to another ,運ぶ
1209,emerge,verb,to become known or prominent,出現する
1210,map,noun," a picture or chart that shows the rivers, mountains, streets, etc., in a particular area ",地図
1211,concept,noun,an abstract idea of something or how it works,概念・発想
1212,island,noun,an area of land that is surrounded by water,島
1213,reform,noun,"when changes are made to improve a system, organization, or law, or a change that is made",改革
1214,neither,adverb,not one or the other of two people or things ,どちらも～ない
1215,football,noun,"a game in which two teams of players try to kick, run with, or throw an oval ball across each other's goal line; a ball used to play football",サッカー
1216,survive,verb,to remain alive;  to continue to live,生き残る
1217,flight,noun,a journey in an aircraft; the act of flying,飛行
1218,left,adjective,located on the same side of your body as your heart ,左
1219,solve,verb,to find a way to deal with and end (a problem) ,解決する
1220,neighbor,noun, a person who lives next to or near another person ,隣の
1221,background,noun,Sounds or images that are not the main focus; a persons life experience up to now,背景
1222,technique,noun,a way of doing by using special knowledge or skill,技術
1223,traffic,noun,"the cars, trucks, etc. using a road",交通
1224,improvement,noun,when something gets better or when you make it better,改善
1225,tool,noun,"something (such as a hammer, saw, shovel, etc.) that you hold in your hand and use for a particular task ",道具
1226,consequence,noun,"the result of an action or situation, especially a bad result",結果
1227,circumstance,noun,"a condition or fact affects a situation, environment",取り巻く環境
1228,smoke,noun,"the cloud of black, gray, or white gases and dust that is produced by burning something ",煙
1229,reaction,noun,"something you say, feel, or do because of something that has happened",反応
1230,rain,noun,water that falls in drops from clouds in the sky,雨
1231,busy,adjective,actively doing something ,忙しい
1232,lesson,noun,an activity that you do in order to learn something ,授業
1233,brain,noun,"the organ of the body in the head that controls functions, movements, sensations, and thoughts ",脳
1234,mass,noun,a usually large amount of a substance that has no particular shape ,巨大
1235,funny,adjective,causing laughter ,おかしい
1236,contribute,verb,to give (money) or help to something,貢献する
1237,failure,noun,the act or result of failing,失敗
1238,schedule,noun,a plan of things that will be done ,日程
1239,speaker,noun,"the part of a radio, CD player, etc. which the sound comes out of; a person who is speaking",スピーカー
1240,bottom,noun,"the lowest part, point, or level of something",底
1241,adopt,verb,"to begin to use or have (a different manner, method, etc.) ",採用する
1242,combine,verb,to cause (two or more things) to be together or to work together ,組み合わせる
1243,mountain,noun, an area of land that rises very high above the land around it and that is higher than a hill ,山
1244,waste,verb,to use (something valuable) in a way that is not necessary or effective,無駄にする
